date,not_dependable_val,disorganized_val,critical_val,not_calm_val,student,impulsivity_score
2013-04-09,0.5,0.5,0.25,0.25,u00,36.70506628062598
2013-04-10,0.25,0.75,0.0,0.5,u00,36.638619888607856
2013-04-16,0.25,0.25,0.5,0.5,u00,38.29493371937402
2013-04-17,0.25,0.5,0.0,0.0,u00,17.69249852002487
2013-04-22,0.5,0.5,0.5,0.5,u00,50.0
2013-04-25,0.5,0.75,1.0,0.5,u00,69.61861054896283
2013-04-26,0.0,0.0,0.25,0.5,u00,19.77427828396607
2013-05-16,0.5,0.25,0.5,0.75,u00,50.491912325193155
2013-05-18,0.5,0.5,0.25,0.25,u00,36.70506628062598
2013-05-20,0.5,0.5,0.5,0.5,u00,50.0
2013-05-21,0.5,0.5,1.0,0.75,u00,70.11052287415599
2013-04-18,0.5,0.25,0.0,0.0,u01,17.422700321853068
2013-04-17,0.625,0.25,0.375,0.125,u02,33.74457335693559
2013-04-09,0.25,0.0,0.75,0.0,u03,26.164401505573004
2013-04-21,0.0,0.0,0.5,0.5,u03,26.589867438748037
2013-04-22,0.0,0.0,0.5,0.25,u03,20.110522874155993
2013-04-24,0.0,0.0,0.5,0.5,u03,26.589867438748037
2013-05-06,1.0,0.5,0.5,0.75,u03,67.91461264704623
2013-05-12,0.0,0.25,0.0,0.25,u03,12.466776803990937
2013-04-09,0.25,0.25,0.25,0.5,u04,31.479344564592047
2013-04-12,0.625,0.5,0.75,0.75,u04,66.15375073998756
2013-04-18,0.5,0.5,0.75,0.5,u04,56.81558915478197
2013-04-11,0.75,0.0,0.25,0.25,u07,30.447835843055287
2013-04-12,0.5,0.0,0.0,0.25,u07,17.914612647046226
2013-04-17,0.625,0.0,0.125,0.25,u07,24.181224245050757
2013-04-18,0.25,0.0,0.16666666666666666,0.25,u07,16.74070470900712
2013-04-20,0.5,0.0,0.25,0.0,u07,18.25085723723615
2013-04-21,0.75,0.0,0.25,0.75,u07,43.40652497223939
2013-04-22,0.25,0.0,0.0,0.25,u07,12.196978605819139
2013-04-24,0.375,0.0,0.5,0.375,u07,31.926646218292653
2013-04-08,0.0,0.25,0.25,0.25,u08,19.28236595877291
2013-04-09,0.25,0.25,0.25,0.25,u08,25.0
2013-04-10,0.25,0.25,0.25,0.0,u08,18.520655435407953
2013-04-11,0.25,0.25,0.25,0.25,u08,25.0
2013-04-12,0.25,0.5,0.375,0.25,u08,34.39522681678987
2013-04-13,0.0,0.25,0.25,0.25,u08,19.28236595877291
2013-04-14,0.25,0.25,0.25,0.25,u08,25.0
2013-04-15,0.125,0.625,0.375,0.25,u08,34.53012591587578
2013-04-16,0.25,0.75,1.0,0.75,u08,70.38032107232779
2013-04-17,0.25,0.25,0.25,0.25,u08,25.0
2013-04-18,0.25,0.5,0.375,0.375,u08,37.63489909908589
2013-04-20,1.0,0.75,0.0,0.25,u08,47.312177447697074
2013-04-21,0.25,0.75,0.25,0.25,u08,36.97486447879778
2013-04-23,0.125,0.125,0.125,0.125,u08,12.5
2013-04-24,0.25,0.25,0.0,0.08333333333333333,u08,13.86484780215666
2013-04-25,0.125,0.25,0.125,0.25,u08,18.73338840199547
2013-04-26,0.125,0.25,0.25,0.25,u08,22.141182979386453
2013-04-27,0.25,0.25,0.0,0.5,u08,24.663755409810072
2013-05-01,0.25,0.25,0.25,0.25,u08,25.0
2013-05-02,0.125,0.5,0.125,0.125,u08,21.481148359098334
2013-05-05,0.25,0.25,0.0,0.0,u08,11.705066280625978
2013-05-07,0.25,0.25,0.25,0.25,u08,25.0
2013-05-17,0.5,0.5,0.5,0.5,u08,50.0
2013-05-20,0.5,0.75,0.5,0.75,u08,62.46677680399093
2013-05-23,1.0,0.75,0.0,0.25,u08,47.312177447697074
2013-04-09,0.5,0.25,0.75,0.75,u10,57.30750147997512
2013-04-17,0.5,0.5,1.0,0.75,u10,70.11052287415599
2013-04-19,0.25,0.0,0.75,0.25,u10,32.64374607016505
