date,critical_val,anxious_val,not_calm_val,not_reserved_val,student,irritability_score
2013-04-09,0.25,0.75,0.25,0.5,u00,42.820542478610726
2013-04-10,0.0,1.0,0.5,1.0,u00,52.71460904621159
2013-04-16,0.5,0.75,0.5,0.75,u00,59.43395708946259
2013-04-17,0.0,0.75,0.0,1.0,u00,29.34924296870217
2013-04-22,0.5,0.5,0.5,0.5,u00,50.000000000000014
2013-04-25,1.0,1.0,0.5,0.5,u00,82.92647591100986
2013-04-26,0.25,1.0,0.5,1.0,u00,60.791261612568384
2013-05-16,0.5,0.5,0.75,0.75,u00,58.536762044495084
2013-05-18,0.25,0.75,0.25,0.0,u00,40.72579907798185
2013-05-21,1.0,0.75,0.75,0.5,u00,82.02928086604237
2013-04-18,0.0,0.0,0.0,0.0,u01,0.0
2013-04-17,0.375,0.125,0.125,0.75,u02,23.195081817142878
2013-04-09,0.75,0.0,0.0,0.25,u03,25.27732939938479
2013-04-21,0.5,0.5,0.5,0.25,u03,48.95262829968557
2013-04-22,0.5,0.0,0.25,0.25,u03,24.690067177208647
2013-04-24,0.5,0.0,0.5,0.25,u03,32.17945752138929
2013-05-06,0.5,0.5,0.75,0.75,u03,58.536762044495084
2013-05-12,0.0,0.0,0.25,0.25,u03,8.536762044495077
2013-04-09,0.25,0.25,0.5,0.25,u04,32.48939034418065
2013-04-12,0.75,0.75,0.75,0.375,u04,73.42894244952835
2013-04-18,0.75,0.75,0.5,0.5,u04,66.46323795550492
2013-04-11,0.25,0.25,0.25,0.375,u07,25.523685850157225
2013-04-12,0.0,0.25,0.25,0.25,u07,16.923347433643222
2013-04-17,0.125,0.125,0.25,0.25,u07,16.768381022247542
2013-04-18,0.16666666666666666,0.25,0.25,0.16666666666666666,u07,21.958658577776262
2013-04-20,0.25,0.25,0.0,0.0,u07,16.46323795550493
2013-04-21,0.25,0.75,0.75,0.25,u07,56.751951466657566
2013-04-22,0.0,0.0,0.25,0.0,u07,7.489390344180641
2013-04-24,0.5,0.375,0.375,0.5,u07,42.06201213333562
2013-04-08,0.25,0.0,0.25,0.5,u08,17.660786311166298
2013-04-09,0.25,0.25,0.25,0.0,u08,23.952628299685568
2013-04-10,0.25,0.5,0.0,0.25,u08,25.897195044967503
2013-04-11,0.25,0.5,0.25,0.75,u08,35.481328789777024
2013-04-12,0.375,0.625,0.25,0.125,u08,41.09451851674339
2013-04-13,0.25,0.25,0.25,0.5,u08,26.047371700314436
2013-04-14,0.25,0.75,0.25,0.0,u08,40.72579907798185
2013-04-15,0.375,0.625,0.25,0.5,u08,42.66557606721505
2013-04-16,1.0,0.75,0.75,0.5,u08,82.02928086604237
2013-04-17,0.25,0.5,0.25,0.25,u08,33.38658538914815
2013-04-18,0.375,0.5,0.375,0.25,u08,41.16960684441686
2013-04-20,0.0,0.5,0.25,0.0,u08,24.262561122476924
2013-04-21,0.25,0.25,0.25,0.0,u08,23.952628299685568
2013-04-23,0.125,0.5,0.125,0.125,u08,25.079878083722217
2013-04-24,0.0,0.3333333333333333,0.08333333333333333,0.5,u08,15.77332070088661
2013-04-25,0.125,0.25,0.25,0.125,u08,20.437987866664393
2013-04-26,0.25,0.25,0.25,0.25,u08,25.000000000000007
2013-04-27,0.0,0.75,0.5,0.25,u08,41.18590855612014
2013-05-01,0.25,0.25,0.25,0.5,u08,26.047371700314436
2013-05-02,0.125,0.125,0.125,0.625,u08,14.594743400628873
2013-05-05,0.0,0.25,0.0,0.75,u08,11.52870049009145
2013-05-07,0.25,0.25,0.25,0.25,u08,25.000000000000007
2013-05-17,0.5,0.5,0.5,0.5,u08,50.000000000000014
2013-05-20,0.5,1.0,0.75,0.25,u08,73.2151894221625
2013-05-23,0.0,0.5,0.25,0.25,u08,25.30993282279136
2013-04-09,0.75,0.5,0.75,0.25,u10,64.518671210223
2013-04-17,1.0,0.5,0.75,0.25,u10,72.59532377657979
2013-04-19,0.75,0.25,0.25,0.75,u10,43.24804853334244
2013-04-22,0.25,0.0,0.25,0.5,u10,17.660786311166298
2013-04-25,0.5,0.0,0.5,0.25,u10,32.17945752138929
2013-04-12,0.25,0.5,0.5,0.5,u12,41.92334743364322
2013-04-14,0.25,0.5,0.5,0.25,u12,40.87597573332879
2013-04-09,0.0,0.0,0.5,0.5,u14,17.073524088990155
2013-04-18,0.0,0.0,0.0,0.375,u14,1.5710575504716544
2013-04-17,0.25,0.0,0.5,0.5,u15,25.15017665534694
2013-04-18,0.5,0.5,0.25,0.75,u15,43.5579813561338
2013-04-09,0.25,0.25,0.5,0.25,u16,32.48939034418065
2013-04-10,0.25,0.0,0.5,0.0,u16,23.055433254718068
2013-04-12,0.25,0.25,0.25,0.0,u16,23.952628299685568
2013-04-17,0.0,0.0,0.25,0.5,u16,9.584133744809515
2013-04-18,0.375,0.125,0.25,0.25,u16,24.845033588604327
2013-04-24,0.25,0.0,0.0,0.25,u16,9.12402426667122
2013-04-27,1.0,1.0,1.0,0.0,u16,95.81051319874227
2013-04-29,0.25,0.5,0.25,0.75,u16,35.481328789777024
2013-05-02,0.5,0.0,0.25,0.0,u16,23.64269547689421
2013-05-08,0.25,0.5,0.5,0.5,u16,41.92334743364322
2013-05-11,0.125,0.25,0.625,0.25,u16,32.19575923309257
2013-05-14,1.0,0.25,0.5,0.0,u16,55.67197634293656
2013-05-15,0.5,0.75,0.5,0.0,u16,56.29184198851927
2013-05-16,0.75,0.5,0.5,0.0,u16,55.98190916572791
2013-05-18,0.0,0.5,0.5,0.75,u16,34.89406656760088
2013-05-28,1.0,0.75,1.0,0.5,u16,89.518671210223
2013-04-10,0.0,0.0,1.0,0.0,u17,29.957561376722563
2013-04-13,0.0,0.5,0.0,0.0,u17,16.773170778296283
2013-04-17,0.0,1.0,0.0,0.0,u17,33.546341556592566
2013-04-19,0.375,0.75,0.375,0.25,u17,49.556192233565
2013-04-20,0.0,0.0,0.5,0.0,u17,14.978780688361281
2013-04-21,0.5,0.75,0.0,1.0,u17,45.50254810141574
2013-04-22,0.75,1.0,0.25,0.0,u17,65.26568959984355
2013-04-26,0.0,0.0,0.0,0.0,u17,0.0
2013-04-29,0.75,0.5,0.0,0.0,u17,41.00312847736664
2013-05-11,1.0,1.0,1.0,0.0,u17,95.81051319874227
2013-04-09,0.5,0.5,0.5,0.5,u18,50.000000000000014
2013-04-10,0.5,0.25,0.5,0.25,u18,40.56604291053743
2013-04-11,0.5,0.25,0.5,0.25,u18,40.56604291053743
2013-04-16,0.5,0.75,0.5,0.75,u18,59.43395708946259
2013-04-17,0.5,0.5,0.5,0.5,u18,50.000000000000014
2013-04-18,0.5,0.5,0.5,0.25,u18,48.95262829968557
2013-04-19,0.375,0.5,0.5,0.5,u18,45.961673716821615
2013-04-21,0.5,0.75,0.5,0.5,u18,58.38658538914815
2013-05-24,0.25,0.75,0.5,0.5,u18,50.30993282279137
2013-04-08,0.0,0.0,0.5,0.25,u19,16.02615238867572
2013-04-09,0.375,0.25,0.25,0.125,u19,28.514640433021178
2013-04-11,0.0,0.0,0.25,0.0,u19,7.489390344180641
2013-04-12,0.0,0.25,0.25,0.75,u19,19.01809083427209
2013-04-16,0.16666666666666666,0.25,0.4166666666666667,0.25,u19,27.300709374001503
2013-04-17,0.0,0.25,0.25,0.125,u19,16.399661583486
2013-04-18,0.5,0.25,0.25,0.5,u19,34.12402426667123
2013-04-19,0.25,0.25,0.25,0.25,u19,25.000000000000007
2013-04-21,0.0,0.5,0.25,0.25,u19,25.30993282279136
2013-04-22,0.25,0.0,0.0,0.75,u19,11.218767667300094
2013-04-23,0.0,0.125,0.125,0.125,u19,8.461673716821611
2013-04-24,0.25,0.5,0.5,0.25,u19,40.87597573332879
2013-04-25,0.5,0.25,0.25,0.75,u19,35.17139596698566
2013-04-26,0.25,0.25,0.25,0.375,u19,25.523685850157225
2013-05-01,0.0,0.25,0.0,0.0,u19,8.386585389148141
2013-05-04,0.0,0.25,0.25,0.125,u19,16.399661583486
2013-05-05,0.0,0.25,0.25,0.25,u19,16.923347433643222
2013-05-06,0.0,0.25,0.25,0.25,u19,16.923347433643222
2013-05-10,0.0,0.5,0.25,0.25,u19,25.30993282279136
2013-05-11,0.0,0.75,0.25,0.0,u19,32.64914651162506
2013-05-12,0.0,0.25,0.25,0.75,u19,19.01809083427209
2013-05-13,0.0,0.5,0.25,0.0,u19,24.262561122476924
2013-05-14,0.25,0.375,0.25,0.625,u19,30.76435024504573
2013-05-15,0.0,0.25,0.25,0.25,u19,16.923347433643222
2013-05-16,0.25,0.5,0.25,0.75,u19,35.481328789777024
2013-05-17,0.5,0.5,0.75,0.5,u19,57.48939034418065
2013-05-18,0.0,0.75,0.25,0.0,u19,32.64914651162506
2013-05-20,0.0,0.25,0.25,0.25,u19,16.923347433643222
2013-05-21,0.0,0.5,0.25,0.125,u19,24.786246972634142
2013-05-22,0.0,0.5,0.25,0.25,u19,25.30993282279136
2013-05-23,0.75,0.75,0.5,0.25,u19,65.4158662551905
2013-05-24,0.75,0.75,0.25,0.25,u19,57.92647591100986
2013-05-25,0.75,1.0,0.75,0.0,u19,80.24447028820485
2013-05-26,0.25,0.5,0.25,0.25,u19,33.38658538914815
2013-05-31,0.0,0.25,0.25,0.75,u19,19.01809083427209
2013-06-01,0.5,0.0,0.25,0.25,u19,24.690067177208647
2013-04-09,0.75,0.5,0.75,0.75,u20,66.61341461085188
2013-04-10,0.25,0.25,0.25,0.75,u20,27.09474340062887
2013-04-09,0.25,0.25,0.75,0.5,u22,41.02615238867572
2013-04-11,0.25,0.25,0.5,1.0,u22,35.631505445123956
2013-04-15,0.5,0.75,0.5,0.5,u22,58.38658538914815
2013-04-08,0.25,0.75,0.75,0.75,u23,58.846694867286445
2013-04-15,0.5,0.5,0.5,0.5,u23,50.000000000000014
2013-04-12,0.25,0.25,0.25,1.0,u24,28.14211510094331
2013-04-13,0.5,0.5,0.25,0.25,u24,41.46323795550493
2013-04-14,0.75,0.75,0.75,0.75,u24,75.00000000000001
2013-04-09,0.0,0.5,0.25,0.5,u25,26.357304523105796
2013-04-11,0.0,0.0,0.5,1.0,u25,19.16826748961903
2013-04-18,0.0,0.0,0.0,0.0,u25,0.0
2013-04-08,0.0,0.25,0.25,0.25,u27,16.923347433643222
2013-04-15,0.0,0.5,0.0,0.0,u27,16.773170778296283
2013-04-17,0.125,0.625,0.625,0.375,u27,45.299323166972
2013-04-18,0.0,0.25,0.5,0.5,u27,25.460109478138293
2013-04-09,0.0,0.0,0.25,1.0,u30,11.678877145438387
2013-04-17,0.0,0.5,0.375,0.375,u30,29.5783138450389
2013-04-21,0.0,0.0,0.25,1.0,u30,11.678877145438387
2013-04-22,0.0,0.0,0.25,0.25,u30,8.536762044495077
2013-04-29,0.0,0.25,0.25,0.25,u30,16.923347433643222
