date,stress_val,anxiety_val,not_calm_val,disorganized_val,student,restlessness_score
2013-04-09,1.0,0.75,0.25,0.5,u00,63.67091682472513
2013-04-10,0.4,1.0,0.5,0.75,u00,70.21473192025105
2013-04-16,1.0,0.75,0.5,0.25,u00,65.2018471086778
2013-04-17,1.0,0.75,0.0,0.5,u00,57.57481577905379
2013-04-25,0.4,1.0,0.5,0.75,u00,70.21473192025105
2013-04-26,0.4,1.0,0.5,0.0,u00,56.519219635095006
2013-05-16,0.15,0.5,0.75,0.25,u00,43.93132473505157
2013-05-18,0.15,0.75,0.25,0.5,u00,45.21473192025105
2013-05-20,0.4,0.5,0.5,0.5,u00,47.8286841288854
2013-05-21,0.7,0.75,0.75,0.5,u00,69.34917130272402
2013-04-17,0.15,0.125,0.125,0.25,u02,15.325414348637988
2013-04-09,0.4,0.0,0.0,0.0,u03,8.685263484458394
2013-04-21,0.7,0.5,0.5,0.0,u03,45.21229021879184
2013-05-12,0.4,0.0,0.25,0.25,u03,19.34653529184841
2013-04-09,0.4,0.25,0.5,0.25,u04,34.353074852343234
2013-04-12,1.0,0.75,0.75,0.5,u04,75.8631189160678
2013-04-18,0.4,0.75,0.5,0.5,u04,56.73912264370888
2013-04-11,0.23333333333333336,0.25,0.25,0.0,u07,20.072943259762223
2013-04-12,0.4,0.25,0.25,0.0,u07,23.691803044953218
2013-04-17,0.15,0.125,0.25,0.0,u07,13.808294109754979
2013-04-18,0.15,0.25,0.25,0.0,u07,18.263513367166723
2013-04-20,0.15,0.25,0.0,0.0,u07,12.16741232149538
2013-04-24,0.0,0.375,0.375,0.0,u07,22.509809340742237
2013-04-08,0.4,0.0,0.25,0.25,u08,19.34653529184841
2013-04-09,0.4,0.25,0.25,0.25,u08,28.256973806671894
2013-04-10,0.7999999999999999,0.5,0.0,0.25,u08,39.75657476028243
2013-04-11,0.4,0.5,0.25,0.25,u08,37.16741232149538
2013-04-12,0.6999999999999998,0.625,0.25,0.5,u08,52.70174995396959
2013-04-13,0.7,0.25,0.25,0.25,u08,34.77092142001569
2013-04-14,0.7,0.75,0.25,0.25,u08,52.59179844966266
2013-04-15,0.7999999999999999,0.625,0.25,0.625,u08,57.15565120594353
2013-04-16,0.7,0.75,0.75,0.75,u08,73.91434206444269
2013-04-17,0.7,0.5,0.25,0.25,u08,43.68135993483917
2013-04-18,0.85,0.5,0.375,0.5,u08,54.551555026065415
2013-04-20,0.7,0.5,0.25,0.75,u08,52.81170145827654
2013-04-21,1.0,0.25,0.25,0.75,u08,50.41521055679684
2013-04-23,0.7,0.5,0.125,0.125,u08,38.35072403114417
2013-04-24,0.7,0.3333333333333333,0.08333333333333333,0.25,u08,33.677000227842626
2013-04-25,1.0,0.25,0.25,0.25,u08,41.284869033359485
2013-04-26,0.85,0.25,0.25,0.25,u08,38.02789522668758
2013-04-27,1.0,0.75,0.5,0.25,u08,65.2018471086778
2013-05-01,0.4666666666666667,0.25,0.25,0.25,u08,29.704517720748292
2013-05-02,0.55,0.125,0.125,0.5,u08,28.575848594815064
2013-05-05,1.0,0.25,0.0,0.25,u08,35.18876798768814
2013-05-07,0.7,0.25,0.25,0.25,u08,34.77092142001569
2013-05-20,0.7,1.0,0.75,0.75,u08,82.82478057926618
2013-05-23,0.7,0.5,0.25,0.75,u08,52.81170145827654
2013-04-09,0.22000000000000003,0.5,0.75,0.25,u10,45.45124584483178
2013-04-17,0.6,0.5,0.75,0.5,u10,58.26741691678593
2013-04-22,0.15,0.0,0.25,0.5,u10,18.483416375780596
2013-04-25,0.275,0.0,0.5,0.25,u10,22.728491498626507
2013-04-14,1.0,0.5,0.5,0.625,u12,63.13916473643233
2013-04-09,0.7,0.0,0.5,0.5,u14,36.52175471258223
2013-04-18,0.7,0.0,0.0,0.0,u14,15.199211097802188
2013-04-17,0.4,0.0,0.5,0.5,u15,30.00780709923843
2013-04-09,0.625,0.25,0.5,0.25,u16,39.23853556235108
2013-04-10,0.7000000000000001,0.0,0.5,0.0,u16,27.39141318914487
2013-04-12,0.4,0.25,0.25,0.25,u16,28.256973806671894
2013-04-17,0.4,0.0,0.25,0.5,u16,23.91170605356709
2013-04-18,0.55,0.125,0.25,0.0,u16,22.493557594213375
2013-04-29,1.0,0.5,0.25,0.25,u16,50.19530754818297
2013-05-02,0.4000000000000001,0.0,0.25,0.25,u16,19.34653529184841
2013-05-08,0.4,0.5,0.5,0.5,u16,47.8286841288854
2013-05-11,0.3166666666666667,0.25,0.625,0.625,u16,42.439451625161425
2013-05-14,0.7,0.25,0.5,0.5,u16,45.43219322740571
2013-05-15,0.5166666666666666,0.75,0.5,0.5,u16,59.27232449334259
2013-05-16,0.7,0.5,0.5,0.5,u16,54.342631742229194
2013-05-18,0.4,0.5,0.5,0.5,u16,47.8286841288854
2013-05-28,1.0,0.75,1.0,0.25,u16,77.39404920002048
2013-04-17,0.7,1.0,0.0,0.5,u17,59.97130668053347
2013-04-19,1.0,0.75,0.375,0.25,u17,62.15379658584212
2013-04-20,0.7,0.0,0.5,0.75,u17,41.086925474300905
2013-04-21,1.0,0.75,0.0,0.25,u17,53.00964501733512
2013-04-22,1.0,1.0,0.25,0.75,u17,77.14652610126728
2013-04-26,1.0,0.0,0.0,0.0,u17,21.713158711145983
2013-04-29,1.0,0.5,0.0,0.5,u17,48.66437726423031
2013-05-11,1.0,1.0,1.0,0.75,u17,95.43482923828131
2013-04-09,0.4,0.5,0.5,0.5,u18,47.8286841288854
2013-04-10,0.4,0.25,0.5,0.5,u18,38.91824561406192
2013-04-19,0.4,0.5,0.5,0.375,u18,45.54609874802606
2013-04-21,0.4,0.75,0.5,0.5,u18,56.73912264370888
2013-04-08,0.7,0.0,0.5,0.0,u19,27.39141318914487
2013-04-09,0.4000000000000001,0.25,0.25,0.0,u19,23.691803044953218
2013-04-11,0.7,0.0,0.25,0.0,u19,21.295312143473527
2013-04-12,0.7,0.25,0.25,0.0,u19,30.20575065829701
2013-04-16,0.7,0.25,0.4166666666666667,0.0,u19,34.2698180220779
2013-04-17,0.7,0.25,0.25,0.0,u19,30.20575065829701
2013-04-18,0.7,0.25,0.25,0.25,u19,34.77092142001569
2013-04-19,0.4,0.25,0.25,0.25,u19,28.256973806671894
2013-04-21,0.7,0.5,0.25,0.0,u19,39.116189173120496
2013-04-23,0.4,0.125,0.125,0.0,u19,16.188533264705807
2013-04-25,0.7,0.25,0.25,0.25,u19,34.77092142001569
2013-04-26,0.4,0.25,0.25,0.125,u19,25.974388425812556
2013-05-01,0.7,0.25,0.0,0.25,u19,28.674820374344346
2013-05-04,0.4,0.25,0.25,0.0,u19,23.691803044953218
2013-05-05,0.4,0.25,0.25,0.0,u19,23.691803044953218
2013-05-06,0.4,0.25,0.25,0.0,u19,23.691803044953218
2013-05-10,0.7,0.5,0.25,0.25,u19,43.68135993483917
2013-05-12,0.15,0.25,0.25,0.0,u19,18.263513367166723
2013-05-13,0.7,0.5,0.25,0.25,u19,43.68135993483917
2013-05-14,0.4,0.375,0.25,0.125,u19,30.4296076832243
2013-05-15,0.275,0.25,0.25,0.0,u19,20.977658206059967
2013-05-16,0.7,0.5,0.25,0.25,u19,43.68135993483917
2013-05-17,1.0,0.5,0.75,0.5,u19,66.95268040124432
2013-05-18,1.0,0.75,0.25,0.75,u19,68.23608758644382
2013-05-20,0.275,0.25,0.25,0.25,u19,25.542828967778647
2013-05-21,0.4000000000000001,0.5,0.25,0.125,u19,34.88482694063604
2013-05-22,0.2333333333333333,0.5,0.25,0.0,u19,28.983381774585702
2013-05-23,0.85,0.75,0.5,0.0,u19,57.37970254028721
2013-05-24,0.275,0.75,0.25,0.25,u19,43.36370599742562
2013-05-25,0.7,1.0,0.75,0.25,u19,73.69443905582882
2013-05-26,0.7,0.5,0.25,0.75,u19,52.81170145827654
2013-05-31,0.0,0.25,0.25,0.25,u19,19.5717103222135
2013-06-01,0.15,0.0,0.25,0.0,u19,9.353074852343237
2013-04-09,0.15,0.25,0.75,0.25,u22,35.02088622022808
2013-04-11,0.275,0.25,0.5,0.75,u22,40.769271536887345
2013-04-15,0.4,0.75,0.5,0.25,u22,52.17395188199021
2013-04-08,0.4,0.75,0.75,0.0,u23,53.70488216594287
2013-04-15,0.4,0.5,0.5,0.25,u23,43.263513367166716
2013-04-12,0.5,0.25,0.25,0.75,u24,39.55863120122385
2013-04-13,0.4,0.5,0.25,0.75,u24,46.29775384493274
2013-04-14,0.7999999999999999,0.75,0.75,1.0,u24,80.65082869727598
2013-04-09,0.15,0.5,0.25,0.25,u25,31.739122643708882
2013-04-18,0.4,0.0,0.0,0.0,u25,8.685263484458394
2013-04-08,1.0,0.25,0.25,0.25,u27,41.284869033359485
2013-04-15,0.7,0.5,0.0,0.75,u27,46.7156004126052
2013-04-17,0.7,0.625,0.625,0.375,u27,59.56331614161727
2013-04-18,0.9,0.25,0.5,0.25,u27,45.20965420791623
2013-04-17,0.4,0.5,0.375,0.0,u30,35.650292082612374
2013-04-21,0.4,0.0,0.25,0.0,u30,14.781364530129734
2013-04-22,0.15,0.0,0.25,0.0,u30,9.353074852343237
2013-04-29,0.4,0.25,0.25,0.0,u30,23.691803044953218
2013-04-17,0.4,0.5,0.75,0.25,u31,49.35961441283806
2013-04-09,0.275,0.25,0.75,0.0,u32,33.16986029740265
2013-04-10,0.15,0.0,0.0,0.0,u32,3.256973806671897
2013-04-13,0.15,0.0,0.0,0.0,u32,3.256973806671897
2013-04-17,0.3166666666666667,0.125,0.125,0.0,u32,14.379103372110308
2013-05-27,0.15,0.25,0.25,0.0,u32,18.263513367166723
2013-04-08,0.15,0.0,0.25,0.25,u33,13.918245614061917
2013-04-09,0.15,0.08333333333333333,0.16666666666666666,0.25,u33,14.8563581037793
2013-04-11,0.2333333333333333,0.5,0.25,0.0,u33,28.983381774585702
2013-04-12,0.15,0.0,0.16666666666666666,0.08333333333333333,u33,8.84276475769235
2013-04-17,0.85,0.75,0.25,0.5,u33,60.41394301805323
2013-04-18,0.15,0.0,0.0,0.25,u33,7.822144568390577
2013-04-30,0.9,0.75,0.0,0.75,u33,59.968670669657875
2013-05-15,1.0,0.25,0.0,1.0,u33,48.88428027284418
2013-05-30,0.7,0.75,0.25,0.75,u33,61.72213997310001
2013-04-09,0.15,0.75,0.75,0.5,u35,57.406934011593734
2013-04-18,0.55,0.125,0.25,0.5,u35,31.623899117650733
2013-04-09,0.4,0.25,0.25,0.25,u36,28.256973806671894
2013-04-14,0.7,0.0,0.5,0.25,u36,31.95658395086355
2013-04-16,0.6999999999999998,0.25,0.5,0.5,u36,45.432193227405705
2013-04-18,0.4,0.375,0.375,0.25,u36,35.76024358691931
2013-05-16,0.4,0.25,0.5,0.25,u36,34.353074852343234
2013-05-17,0.4,0.25,0.5,0.5,u36,38.91824561406192
2013-05-18,0.4,0.25,0.25,0.25,u36,28.256973806671894
2013-04-13,0.4,0.25,0.5,0.25,u39,34.353074852343234
2013-04-16,0.4,0.75,0.5,0.5,u39,56.73912264370888
2013-04-17,0.4,0.5,0.5,0.5,u39,47.8286841288854
2013-04-25,0.4,0.5,0.75,0.5,u39,53.924785174556746
2013-04-09,0.4,0.25,0.125,0.375,u43,27.49150866469557
2013-04-10,0.4000000000000001,0.25,0.25,0.25,u43,28.256973806671894
2013-04-13,0.85,0.0,0.25,0.5,u43,33.682627473582784
2013-04-15,0.7,0.25,0.25,0.25,u43,34.77092142001569
2013-04-17,1.0,0.25,0.25,0.25,u43,41.284869033359485
2013-04-18,0.85,0.25,0.25,0.25,u43,38.02789522668758
2013-04-22,0.85,0.25,0.25,0.25,u43,38.02789522668758
2013-04-08,0.4166666666666667,0.0,0.25,0.5,u44,24.273592032086192
2013-04-09,0.3166666666666667,0.0,0.25,1.0,u44,31.232617684408947
2013-04-10,0.4,0.5833333333333334,0.4166666666666667,0.6666666666666666,u44,51.8102437930819
2013-04-11,0.55,0.75,0.25,0.5,u44,53.89999540470944
2013-04-12,0.4,0.5,0.25,0.75,u44,46.29775384493274
2013-04-13,0.5,0.75,0.5,0.5,u44,58.91043851482348
2013-04-16,0.2333333333333333,0.25,0.25,0.25,u44,24.6381140214809
2013-04-18,0.4,0.25,0.25,0.25,u44,28.256973806671894
2013-04-20,0.4,0.125,0.375,0.6875,u44,34.83885390510352
2013-04-21,0.4,0.25,0.0,0.25,u44,22.160872761000554
2013-04-22,0.7,0.5,0.375,0.625,u44,53.577166600252866
2013-04-23,0.275,0.875,0.875,0.625,u44,69.90693401159372
2013-04-25,0.4,0.3333333333333333,0.25,0.4166666666666667,u44,34.270567152758844
2013-04-26,0.4,0.25,0.25,0.25,u44,28.256973806671894
2013-04-27,0.4,0.25,0.25,0.375,u44,30.53955918753124
2013-04-29,0.7,0.375,0.25,0.5,u44,43.79131143914611
2013-04-30,0.7999999999999999,0.75,0.75,0.5,u44,71.5204871738386
2013-05-01,0.4,0.25,0.375,0.25,u44,31.305024329507567
2013-05-02,0.4,0.25,0.25,0.75,u44,37.38731533010925
2013-05-03,0.4,0.25,0.25,0.75,u44,37.38731533010925
2013-05-04,0.4,0.25,0.5,0.25,u44,34.353074852343234
2013-05-05,0.4,0.25,0.25,0.5,u44,32.82214456839058
2013-05-06,0.275,0.3333333333333333,0.3333333333333333,0.5,u44,35.110179582995606
2013-05-08,0.7,0.375,0.25,0.375,u44,41.50872605828677
2013-05-09,0.4,0.3125,0.5625,0.8125,u44,48.37634395633397
2013-05-12,0.275,0.25,0.5,0.75,u44,40.769271536887345
2013-05-14,0.4,0.25,0.25,0.25,u44,28.256973806671894
2013-05-15,0.43333333333333335,0.65,0.55,0.55,u44,56.03097355629569
2013-05-16,0.15,0.25,0.375,0.75,u44,35.007076175158424
2013-05-17,0.15,0.5,0.5,0.5,u44,42.4003944510989
2013-05-18,0.4,0.5833333333333334,0.6666666666666666,0.5833333333333334,u44,56.38462125151369
2013-05-19,0.4,0.25,0.25,0.4166666666666667,u44,31.300420981151017
2013-05-20,0.4,0.25,0.25,0.75,u44,37.38731533010925
2013-05-21,0.4,0.375,0.25,0.25,u44,32.712193064083635
2013-05-23,0.4,0.75,0.75,0.25,u44,58.27005292766154
2013-05-24,0.4,0.75,0.25,0.25,u44,46.077850836318866
2013-04-18,0.0,0.5,0.75,1.0,u45,54.369863213535695
2013-04-09,0.15,0.25,0.25,0.0,u46,18.263513367166723
2013-04-17,1.0,0.25,0.5,0.25,u46,47.380970079030824
2013-04-09,0.0,0.0,0.0,0.0,u49,0.0
2013-04-13,0.2333333333333333,0.0,0.0,0.0,u49,5.066403699267395
2013-04-15,0.15,0.0,0.5,0.25,u49,20.014346659733256
2013-04-16,0.4,0.0,0.5,0.0,u49,20.877465575801075
2013-04-18,0.575,0.5,0.5,0.5,u49,51.62848690333595
2013-04-29,0.15,0.0,0.25,0.25,u49,13.918245614061917
2013-05-02,0.4,0.25,0.0,0.0,u49,17.595701999281875
2013-05-05,1.0,0.125,0.1875,0.375,u49,37.58820989538925
2013-05-07,0.5,0.25,0.5,0.5,u49,41.08956148517651
2013-05-10,0.275,0.375,0.125,0.25,u49,26.94999770235472
2013-05-13,0.4,0.0,0.0,0.0,u49,8.685263484458394
2013-05-18,0.2333333333333333,0.0,0.0,0.0,u49,5.066403699267395
2013-05-19,0.0,0.5,0.25,0.75,u49,37.61249036047435
2013-05-21,0.4,0.0,0.0,0.0,u49,8.685263484458394
2013-05-23,0.075,0.0,0.0,0.0,u49,1.6284869033359486
2013-05-24,0.15,0.0,0.0,0.25,u49,7.822144568390577
2013-05-31,0.7,0.25,0.0,0.0,u49,24.109649612625674
2013-04-09,0.4,0.25,0.5,0.5,u51,38.91824561406192
2013-04-16,0.6,0.25,0.5,0.25,u51,38.695706594572435
2013-04-18,0.55,0.375,0.375,0.375,u51,41.29980277445055
2013-04-09,0.0,0.75,0.75,0.5,u52,54.14996020492183
2013-04-16,0.4,0.75,0.5,0.0,u52,47.60878112027152
2013-04-17,0.275,0.75,1.0,0.0,u52,57.08683837272096
2013-04-18,0.075,0.5,0.25,0.0,u52,25.545464978654252
2013-04-09,0.4,0.75,0.75,0.25,u53,58.27005292766154
2013-04-14,0.4,0.75,0.25,0.25,u53,46.077850836318866
2013-04-19,0.4,0.0,0.25,0.0,u53,14.781364530129734
2013-05-16,0.7,0.0,0.25,0.25,u53,25.860482905192207
2013-05-18,0.7,0.25,0.25,0.0,u53,30.20575065829701
2013-04-17,0.15,1.0,1.0,0.5,u54,72.41347357208855
2013-04-09,0.26666666666666666,0.0,0.125,0.5,u56,17.968567702578625
2013-04-10,0.0,0.0,0.25,0.5,u56,15.226442569108697
2013-04-12,0.4,0.0,0.25,0.25,u57,19.34653529184841
2013-04-13,0.4,0.25,0.25,0.25,u57,28.256973806671894
2013-04-16,0.7,0.25,0.25,0.5,u57,39.336092181734365
2013-04-17,0.7000000000000001,0.75,0.75,0.5,u57,69.34917130272402
2013-04-18,0.4,0.0,0.25,0.25,u57,19.34653529184841
2013-04-25,1.0,0.0,0.5,0.25,u57,38.47053156420734
2013-05-08,0.4,0.0,0.0,0.25,u57,13.250434246177074
2013-05-15,0.4,0.25,0.5,0.0,u57,29.787904090624558
2013-04-09,0.2,1.0,1.0,0.0,u58,64.36878998420849
2013-04-15,0.7,1.0,0.75,0.0,u58,69.12926829411015
2013-04-17,0.7,1.0,1.0,0.125,u58,77.50795472064083
2013-04-18,0.7,0.25,0.0,0.75,u58,37.8051618977817
2013-04-19,0.4,0.75,0.0,0.0,u58,35.416579028928844
2013-04-21,0.0,0.0,0.0,0.25,u58,4.5651707617186785
2013-04-22,0.7,0.75,0.75,0.0,u58,60.21882977928665
2013-04-23,0.2,1.0,1.0,0.0,u58,64.36878998420849
2013-04-24,0.4,0.0,0.25,0.0,u58,14.781364530129734
2013-04-26,0.7,0.0,1.0,0.0,u58,39.58361528048755
2013-04-29,0.7,0.875,1.0,0.375,u58,77.61790622494776
2013-05-17,0.6999999999999998,0.25,0.5,0.0,u58,36.301851703968346
2013-04-08,0.3583333333333334,0.25,0.25,0.16666666666666666,u59,25.830535273134586
2013-04-09,0.37142857142857144,0.25,0.25,0.25,u59,27.636597843496297
2013-04-10,0.32,0.25,0.125,0.375,u59,25.754455967803892
2013-04-11,0.275,0.5,0.25,0.5,u59,39.018438244320805
2013-04-12,0.31428571428571433,0.25,0.0,0.25,u59,20.299744871473756
2013-04-13,0.2125,0.25,0.0,0.5,u59,22.65482626437936
2013-04-14,0.2,0.25,0.0,0.125,u59,15.535655637912022
2013-04-16,0.25,0.25,0.0,0.25,u59,18.903898954328657
2013-04-18,0.3375,0.25,0.0,0.25,u59,20.80380034155393
2013-04-19,0.27,0.25,0.25,0.25,u59,25.434263174222917
2013-04-21,0.4,0.5,0.5,0.25,u59,43.263513367166716
